Name,Notes
Navigation viewpoint,
Adaptation Viewpoint,
Innovation Viewpoint,
Synthesis Viewpoint,
Conceptual viewpoint,
,
Constraints,
Improvement Initiatives,
Programs,
Business scenarios,
Businesses,
Uncertainty,
Baselines,
Quality escapes,
Customers,
Solutions,
Needs,
Processes,
Projects,
Work packages,
Methods,
Priorities,
Commitments,
Metrics,
Work units,
Effort,
Locations,
Conditions,
ProxyConnector,
Conclusions,
Concensus,
Communications,
,
,
,
,
,"<font color=""#000080""><b>SwiftSure.Pro</b></font>
<font color=""#0000ff"">Version 2025-1</font>"
InformationItem1,
Endeavors,
,
,
,
,
,
,
,
,
,
Means of production,
Factors of production,
Contributing causes,
Risk workflow state,
Risk areas of concern,
Risk characterization,
Risk type,
Stage of risk dev,
Risk management,
Risk affected parties,
Risk primary owner,
Risk definition,
Mitigation activities,
Mitigation status,
Mitigation activity owner,
Mitigation activity,
,
,
,
,
Risk priority,
RiskID,Requirements Identifier
Applicability,
ProxyConnector,
Risk substantiation,
Rationale,
Notes,
Context,
ProxyConnector,
,Need to decide how to manage 'ideas' and how to feather in other non-material elements like stores of value (money)
Impact assessment,
Operational,
Simulated,
ProxyConnector,
,
ProxyConnector,
Structure,
Purpose,
Satisfies,
Reqmts definition,
Risks,
Adaptation viewpoint,
Rationale,
State of reqmts dev,
Reqmts areas of concern,
Impact characterization,
Reqmts affected parties,
Reqmts approval state,
V&V activities,
Determination of compliance,
Risk Exposure,
Likelihood,
Consequences,
V&V Methods,
System hierarchy,
ProxyConnector,
Influences,
,"Need to incorporate notions of agents, competency, levels of experience, knowledge, decision-making, aptitude, and skills."
Work package,
V&V procedures,
V&V network,The preconditions necessary for procedures to be performed.
Satisfaction of entry criteria,
V&V data,
Issues,
Builds,
Coverage analysis,
Reqmts substantiation,
Notes,
Rationale,
Version identifier,
Reqmts type,
ReqID,Requirements Identifier
Reqmts primary owner,
Talent,
Jobs,
Environment,"The surrounding conditions, context, and external influences that affect entities, agents, or systems"
Events,"Occurrences or happenings that involve changes in substances or their properties. They are often seen as the dynamic aspect of reality.
&nbsp;
<ul>
	<li><b>Temporal Events</b>: Events that occur within time, such as a leaf falling from a tree.</li>
</ul>

<ul>
	<li><b>Timeless Events</b>: Philosophically debated, these refer to occurrences that are outside the usual flow of time.</li>
</ul>"
Organizational entities,
,"e.g.
Correctness, completeness, consistency, etc."
Concerns,
Model,
Areas of responsibility,
Quality criterion,
View,
Roles,
Stakeholder needs,
Viewpoints,
Requirements,
Creation Viewpoint : Interactions,Creation Viewpoint : Interactions
,
System context,
Adaptation Viewpoint : System context,Adaptation Viewpoint : System context
Creation Viewpoint : Interactions,Creation Viewpoint : Interactions
Interactions,
Verification metamodel,
Verification metamodel,
Verification metamodel,
ProxyConnector,
ProxyConnector,
$inet://swiftsure.substack.com/p/Resources,
ProxyConnector,
Mental models,"Cognitive frameworks or representations that aid in understand and interpretting the world, predicting outcomes, and guiding behavior."
Space and Time,"Space and time are the frameworks within which physical reality is structured.
&nbsp;
<ul>
	<li><b>Space</b>: The three-dimensional continuum in which objects are located and interact.</li>
</ul>

<ul>
	<li><b>Time</b>: The linear progression of events from the past, through the present, to the future. Some metaphysical perspectives consider time to be another dimension, much like space.</li>
</ul>"
Causality,"Causality is the principle that events occur as a result of other events or states of affairs. It establishes a relationship between cause and effect.
&nbsp;
<ul>
	<li><b>Efficient Causes</b>: Causes that bring something into existence or effect a change.</li>
</ul>

<ul>
	<li><b>Final Causes</b>: The purpose or end for which something is done, a concept especially highlighted in Aristotelian philosophy.</li>
</ul>"
Universals and Particulars,a classical metaphysical distinction about the nature of properties and entities
Possibility and Necessity,"These concepts deal with the nature of existence and non-existence.
&nbsp;
<ul>
	<li><b>Possible Worlds</b>: Hypothetical realities that represent different ways things could have been.</li>
</ul>

<ul>
	<li><b>Necessary Existence</b>: Entities that must exist in any possible world, such as mathematical truths or logical laws.</li>
</ul>"
Mind and Consciousness,"This component explores the nature of the mind and its relationship to reality.
&nbsp;
<ul>
	<li><b>Dualism</b>: The view that mind and matter are distinct substances.</li>
</ul>

<ul>
	<li><b>Monism</b>: The belief that only one kind of substance exists, with variations like materialism (only matter exists) and idealism (only mind exists).</li>
</ul>"
Ontology,"The study of being and existence that seek to categorize and understand the nature of entities and their modes of existence.
&nbsp;
<ul>
	<li><b>Realism</b>: The belief that entities exist independently of perception.</li>
</ul>

<ul>
	<li><b>Nominalism</b>: The view that universals are mere names without inherent reality.</li>
</ul>"
Metaphysical Grounding,"This concept involves the basis upon which reality is constructed.
&nbsp;
<ul>
	<li>F<b>undamental Entities</b>: The basic building blocks of reality that everything else depends on.</li>
</ul>

<ul>
	<li><b>Grounding Relations</b>: The hierarchical structure that explains how higher-level phenomena arise from more fundamental ones.</li>
</ul>"
,"<font color=""#000080""><b>SwiftSure.Pro</b></font>
<font color=""#0000ff"">Version 2025-1</font>"
ProxyConnector,
,"<font color=""#000080""><b>SwiftSure.Pro</b></font>
<font color=""#0000ff"">Version 2025-1</font>"
Simplified,
Contextualized,
Dynamical,
Solutions,
,
,
,
Stakeholder needs,
Rules,
Standards,
Findings,
Teams,
Signatures,
People,
Optional,
Standards,
Core features,
Value proposition,
Operations,
Configuration,
Configuration definition,
Leverage points,
Pathways,
Inputs/outputs,
,
,
Interfacing,
Design specifications,
System architecture,
System architecture,
List of Elements in Diagram Architecture definition elements,
System architecture,
System architecture,
,
Bill of materials,
As designed,
As built,
Normal,
Resiliency,
Failure,
System Requirements,
See if the ::System can be removed,
Data model,
Logical,
Physical,
Definition,
Product,
Embodiment,
Design,
Conceptual,
Systems,
Functional design,
,
System of interest,
External systems,
Has,
Rules,
Inhabits,
Has an,
Guidance,
Guidance,
Agreements,
Architecture artifacts,
Architecture,
Organized by,
,
Agreements,
Participates in,
Resources,
Performers,
Capabilities,
Conditions,
Architectural elements,
Capabilities,
Operational envelopes,
Protocols,
Competencies,
Artifacts,
Features,
Basic,
Pre-engineered,
Customizable,
Context,"the interpretive framework  and corresponding knowledge, experience, and perspective that give meaning to facts, actions, or ideas and promotes understanding of why something matters, how it fits into a bigger picture, or what it implies.
"
Information,"Data that has been processed and organized in a way that is meaningful for use in the form of facts, figures, and narratives."
Categorized,
Verified,
Condensed,
Observer,
Installations,
Physical envelopes,
,
Identifiers,
Issues,
Behaviors,
,
Activities,
States,
Categories,
Element,
Transmission medium,
Payloads,
Functional objects,
Interactions,
Transport elements,
Objectives,
Ports,
Operational Procedures,
Processes,
Scenarios,
Services,
Functions,
Interfaces between elements,
ProxyConnector,
Structure,
,
Material,Any substace or mixture of substances that has physical properties and is used for making things.
,
Actions,
Dogmatism,
Skepticism,
,
,
,
Contextualized,
Communicatible,
ProxyConnector,
Methods,
Methods,
Systems,
Subsystems,
Components,
Parent system,
,
Filters,
Equipment,
,
,
Mathematical,
Scientific,
Philosophical,
Architecture Metamodel,
Architecture Metamodel,
Architecture Metamodel,
Requirements metamodel,
Property1,
Beliefs,
,
Mechanical,
Electrical,
Gravitational,
Chemical,
Radiant,
Machinery,
Elastic,
Thermal,
Forces,
Drag,
Torque,
Thrust,
Stress,
Equipment,
Raw material,
Processed material,
,
Organizing principles,
Evidence,"Anything presented in support of an assertion, as described <a href=""$inet://https://en.wikipedia.org/wiki/Evidence""><font color=""#0000ff""><u>here</u></font></a>."
Arguments,"Arguments deal with whether claims are true or not, providing reasons to support that claim and implying that the premises make it reasonable to accept the conclusion. In contrast, an explanation describes the mechanism by which something happens, providing causal theories for why something could happen. Explanations may themselves be true or not (i.e. explain adequately why something happens), but they cannot be used as evidence to believe a claim – they make it plausible, but not certain. 

"
Claims,"An <a href=""$inet://https://en.wikipedia.org/wiki/Idea""><font color=""#0000ff""><u>idea</u></font></a> that someone is trying to convince someone else is true, and which is debatable."
Authorities,
Authoritative sources of truth,
Reputation,
Hardware,
Discipline Owners,
Software,
Control element,
ProxyConnector,
Domain knowledge,
Time,
Tools,
Work products,
History,
ProxyConnector,
Methods,
Matter,The general term for anything that has mass and occupies space
Theories,
Ecosystems,
Energy,
ProxyConnector,
Testimony,
Mass,
Motion,
Position,
Shape,
,
Phase,
Liquid,"Has a definite volume but takes the shape of its container. Particles are less tightly packed than in solids. Examples: Water, oil"
Solid,"Has a definite shape and volume. Particles are tightly packed. Examples: Ice, iron
"
ProxyConnector,
Gas,"Has no definite shape or volume. Particles are spread out and move freely. Examples: Oxygen, nitrogen"
ProxyConnector,
